image,outcome,ring_pixels,ring_b,plate_chroma,group
IMG_20250504_194703.jpg,1.5kg,7613,49.89880041084695,45.39106204526216,correct
IMG_20250504_203156_1.jpg,missed,8135,48.48099945299108,42.578221860419674,missed
IMG_20250504_204329.jpg,0.5kg,5108,49.34560229281077,39.84472727059176,misread
IMG_20250504_205923.jpg,missed,4318,48.20358642907012,36.382689856852636,missed
IMG_20250504_203736.jpg,0.5kg,7693,39.713023962936056,39.18361100792078,misread
IMG_20250504_191939.jpg,0.5kg,8217,57.19947843653066,41.450720884430474,misread
IMG_20250504_210302.jpg,0.5kg,6564,43.91643292504387,37.72629302173843,misread
IMG_20250504_203755.jpg,0.5kg,6565,39.379406933545845,37.54622526883257,misread
IMG_20250504_204322.jpg,0.5kg,5007,49.89908750571963,41.252645144012945,misread
IMG_20250504_193958.jpg,0.5kg,6253,55.11933257160359,41.32564373889037,misread
IMG_20250504_184207.jpg,1.5kg,11531,4.395579593644272,60.99151095082544,correct
IMG_20250504_194107.jpg,missed,6277,54.99141197879046,36.317784143838296,missed
IMG_20250504_185925.jpg,1.5kg,9089,8.274112279167234,56.3956436666039,correct
IMG_20250504_194242.jpg,0.5kg,6884,42.3184918550872,44.93804125172154,misread
IMG_20250504_210747.jpg,1.5kg,7174,-13.766457018346156,39.81173864964445,correct
IMG_20250504_205023.jpg,1.5kg,4463,-11.041785191398713,40.8031197852334,correct
IMG_20250504_210147.jpg,0.5kg,4617,47.116498072211996,43.778462427059495,misread
IMG_20250504_191940.jpg,missed,8097,57.141266681738514,42.93781617548241,missed
IMG_20250504_203142.jpg,missed,8513,48.07717901997995,41.813927856948695,missed
IMG_20250504_203157.jpg,missed,7702,48.556186837841935,41.074100746722074,missed
IMG_20250504_210258.jpg,0.5kg,6750,43.070238524097036,38.239796495265395,misread
IMG_20250504_195136.jpg,1.5kg,7236,11.755033197685904,11.571548032191183,correct
IMG_20250504_204640.jpg,1.5kg,4364,-11.04891181093266,42.045390559271844,correct
IMG_20250504_210255.jpg,0.5kg,6254,42.45877444740347,38.171504310392876,misread
IMG_20250504_211309.jpg,1.5kg,7987,-15.331913139788789,44.876210439572475,correct
IMG_20250504_203053.jpg,1.5kg,6795,48.16410724656288,44.23877062656086,correct
IMG_20250504_210310.jpg,0.5kg,6690,46.033081239298944,36.16125089489294,misread
IMG_20250504_205432.jpg,0.5kg,4650,42.698744281563506,38.6519201521202,misread
IMG_20250504_210309.jpg,0.5kg,6330,46.00620915575915,36.23369250216187,misread
IMG_20250504_194546.jpg,1.5kg,6913,49.941504415741036,45.11783169011103,correct
IMG_20250504_203747.jpg,0.5kg,7962,43.04518624132969,38.38064297758724,misread
IMG_20250504_194228.jpg,0.5kg,7289,45.77149649762753,44.11472211938686,misread
IMG_20250504_210748.jpg,1.5kg,7003,-14.363817206289188,37.79935757654586,correct
IMG_20250504_210602.jpg,1kg,5962,44.21917438517512,12.875963377253848,other
IMG_20250504_194054.jpg,1.5kg,6743,54.65379953658434,35.7079836603295,correct
IMG_20250504_184107.jpg,missed,1897,4.352173577395746,47.38539777079414,missed
IMG_20250504_205445.jpg,0.5kg,4382,44.10128508012251,38.58273689726835,misread
IMG_20250504_193959.jpg,0.5kg,6218,54.715714013454175,41.75073933792089,misread
IMG_20250504_205030.jpg,1.5kg,4290,-11.02136441457282,38.75922662993692,correct
